step 0: train loss 10.8545, val loss 10.8549
iter 1010: loss 5.4792, time 1311.01ms, mfu 84.56%
iter 1020: loss 5.4474, time 1305.30ms, mfu 85.39%
iter 1030: loss 5.3950, time 1308.38ms, mfu 86.11%
iter 1040: loss 5.4204, time 1313.29ms, mfu 86.72%
iter 1050: loss 5.5168, time 1306.26ms, mfu 87.33%
iter 1060: loss 5.3998, time 1304.91ms, mfu 87.88%
iter 1070: loss 5.3460, time 1308.11ms, mfu 88.35%
iter 1080: loss 5.3919, time 1312.72ms, mfu 88.75%
iter 1090: loss 5.3518, time 1307.12ms, mfu 89.14%
iter 1100: loss 5.3466, time 1310.33ms, mfu 89.47%
iter 1110: loss 5.3740, time 1311.50ms, mfu 89.77%
iter 1120: loss 5.3383, time 1307.52ms, mfu 90.06%
iter 1130: loss 5.3759, time 1308.94ms, mfu 90.31%
iter 1140: loss 5.3143, time 1305.84ms, mfu 90.55%
iter 1150: loss 5.2623, time 1313.97ms, mfu 90.72%
iter 1160: loss 5.3248, time 1309.49ms, mfu 90.90%
iter 1170: loss 5.4251, time 1307.11ms, mfu 91.08%
iter 1180: loss 5.3370, time 1307.06ms, mfu 91.24%
iter 1190: loss 5.3077, time 1308.35ms, mfu 91.38%
iter 1200: loss 5.3123, time 1310.05ms, mfu 91.49%
iter 1210: loss 5.3095, time 1313.14ms, mfu 91.57%
iter 1220: loss 5.2808, time 1305.54ms, mfu 91.69%
iter 1230: loss 5.2479, time 1307.12ms, mfu 91.79%
iter 1240: loss 5.2667, time 1310.74ms, mfu 91.86%
iter 1250: loss 5.1951, time 1307.62ms, mfu 91.94%
iter 1260: loss 5.2100, time 1308.50ms, mfu 92.00%
iter 1270: loss 5.2408, time 1312.30ms, mfu 92.03%
iter 1280: loss 5.1255, time 1306.27ms, mfu 92.11%
iter 1290: loss 5.3007, time 1307.00ms, mfu 92.17%
iter 1300: loss 5.2272, time 1311.18ms, mfu 92.19%
iter 1310: loss 5.2022, time 1307.10ms, mfu 92.24%
iter 1320: loss 5.1657, time 1312.38ms, mfu 92.25%
iter 1330: loss 5.1844, time 1303.77ms, mfu 92.32%
iter 1340: loss 5.0656, time 1311.67ms, mfu 92.32%
iter 1350: loss 5.0231, time 1311.85ms, mfu 92.33%
iter 1360: loss 5.0824, time 1308.83ms, mfu 92.35%
iter 1370: loss 5.1602, time 1303.08ms, mfu 92.41%
iter 1380: loss 5.1153, time 1315.41ms, mfu 92.38%
iter 1390: loss 5.1177, time 1302.76ms, mfu 92.45%
iter 1400: loss 5.0868, time 1310.23ms, mfu 92.45%
iter 1410: loss 5.1241, time 1306.15ms, mfu 92.48%
iter 1420: loss 5.0468, time 1312.40ms, mfu 92.46%
iter 1430: loss 5.0593, time 1313.97ms, mfu 92.44%
iter 1440: loss 5.0771, time 1314.40ms, mfu 92.41%
iter 1450: loss 5.0718, time 1305.35ms, mfu 92.45%
iter 1460: loss 4.9761, time 1303.94ms, mfu 92.50%
iter 1470: loss 5.0560, time 1306.79ms, mfu 92.52%
iter 1480: loss 5.0409, time 1312.49ms, mfu 92.50%
iter 1490: loss 5.0825, time 1310.57ms, mfu 92.50%
iter 1500: loss 5.0635, time 1306.27ms, mfu 92.52%
iter 1510: loss 5.0274, time 1305.20ms, mfu 92.55%
iter 1520: loss 4.9676, time 1304.29ms, mfu 92.59%
iter 1530: loss 4.9596, time 1305.77ms, mfu 92.61%
iter 1540: loss 4.9416, time 1308.89ms, mfu 92.60%
iter 1550: loss 4.9793, time 1313.05ms, mfu 92.57%
iter 1560: loss 4.8933, time 1312.06ms, mfu 92.55%
iter 1570: loss 4.9354, time 1311.68ms, mfu 92.53%
iter 1580: loss 4.9879, time 1307.18ms, mfu 92.55%
iter 1590: loss 4.9230, time 1307.03ms, mfu 92.56%
iter 1600: loss 4.8915, time 1311.48ms, mfu 92.54%
iter 1610: loss 4.9091, time 1313.28ms, mfu 92.52%
iter 1620: loss 4.9685, time 1312.22ms, mfu 92.50%
iter 1630: loss 4.8811, time 1306.35ms, mfu 92.52%
iter 1640: loss 4.9071, time 1302.82ms, mfu 92.57%
iter 1650: loss 4.9003, time 1309.13ms, mfu 92.57%
iter 1660: loss 4.7789, time 1310.50ms, mfu 92.56%
iter 1670: loss 4.8604, time 1311.49ms, mfu 92.54%
iter 1680: loss 4.7850, time 1305.76ms, mfu 92.56%
iter 1690: loss 4.8058, time 1305.14ms, mfu 92.59%
iter 1700: loss 4.8018, time 1309.13ms, mfu 92.59%
iter 1710: loss 4.7297, time 1314.84ms, mfu 92.54%
iter 1720: loss 4.7933, time 1315.06ms, mfu 92.50%
iter 1730: loss 4.7912, time 1307.55ms, mfu 92.52%
iter 1740: loss 4.7881, time 1309.53ms, mfu 92.52%
iter 1750: loss 4.8039, time 1310.54ms, mfu 92.51%
