step 0: train loss 10.9210, val loss 10.9203
iter 1040: loss 4.9534, time 745.85ms, mfu 70.12%
iter 1050: loss 4.9859, time 748.38ms, mfu 70.59%
iter 1060: loss 4.9187, time 745.92ms, mfu 71.03%
iter 1070: loss 4.8848, time 748.94ms, mfu 71.41%
iter 1080: loss 4.8922, time 745.38ms, mfu 71.78%
iter 1090: loss 4.8898, time 748.43ms, mfu 72.08%
iter 1100: loss 4.9812, time 747.16ms, mfu 72.36%
iter 1110: loss 4.9225, time 748.18ms, mfu 72.61%
iter 1120: loss 4.8174, time 748.54ms, mfu 72.83%
iter 1130: loss 4.8573, time 748.17ms, mfu 73.03%
iter 1140: loss 4.9223, time 752.18ms, mfu 73.17%
iter 1150: loss 4.8248, time 746.72ms, mfu 73.35%
iter 1160: loss 4.8375, time 745.09ms, mfu 73.53%
iter 1170: loss 4.8196, time 749.26ms, mfu 73.65%
iter 1180: loss 4.8348, time 747.47ms, mfu 73.78%
iter 1190: loss 4.8258, time 749.75ms, mfu 73.87%
iter 1200: loss 4.8213, time 744.26ms, mfu 74.00%
iter 1210: loss 4.7461, time 748.48ms, mfu 74.08%
iter 1220: loss 4.7549, time 750.64ms, mfu 74.13%
iter 1230: loss 4.7218, time 749.05ms, mfu 74.19%
iter 1240: loss 4.6697, time 744.16ms, mfu 74.30%
iter 1250: loss 4.7158, time 747.20ms, mfu 74.36%
iter 1260: loss 4.7104, time 749.36ms, mfu 74.40%
iter 1270: loss 4.6127, time 746.27ms, mfu 74.46%
iter 1280: loss 4.6753, time 747.81ms, mfu 74.50%
iter 1290: loss 4.5778, time 747.76ms, mfu 74.54%
iter 1300: loss 4.6845, time 748.68ms, mfu 74.56%
iter 1310: loss 4.5878, time 749.50ms, mfu 74.58%
iter 1320: loss 4.6158, time 748.77ms, mfu 74.60%
iter 1330: loss 4.5871, time 746.65ms, mfu 74.64%
iter 1340: loss 4.6280, time 749.13ms, mfu 74.65%
iter 1350: loss 4.5542, time 748.01ms, mfu 74.67%
iter 1360: loss 4.4672, time 748.86ms, mfu 74.68%
iter 1370: loss 4.5189, time 749.18ms, mfu 74.68%
iter 1380: loss 4.6045, time 750.86ms, mfu 74.67%
iter 1390: loss 4.4870, time 748.07ms, mfu 74.69%
iter 1400: loss 4.5230, time 745.53ms, mfu 74.73%
iter 1410: loss 4.4295, time 749.11ms, mfu 74.73%
iter 1420: loss 4.4107, time 749.50ms, mfu 74.73%
iter 1430: loss 4.4298, time 749.85ms, mfu 74.72%
iter 1440: loss 4.4840, time 747.47ms, mfu 74.74%
iter 1450: loss 4.4601, time 748.87ms, mfu 74.74%
iter 1460: loss 4.4329, time 748.61ms, mfu 74.75%
iter 1470: loss 4.4405, time 747.01ms, mfu 74.77%
iter 1480: loss 4.3328, time 746.28ms, mfu 74.79%
iter 1490: loss 4.4074, time 748.07ms, mfu 74.80%
iter 1500: loss 4.3890, time 749.32ms, mfu 74.79%
iter 1510: loss 4.4312, time 751.95ms, mfu 74.76%
iter 1520: loss 4.3901, time 750.35ms, mfu 74.74%
