step 0: train loss 10.8173, val loss 10.8175
iter 1010: loss 5.5752, time 1017.51ms, mfu 90.94%
iter 1020: loss 5.5599, time 1021.63ms, mfu 91.81%
iter 1030: loss 5.5601, time 1023.25ms, mfu 92.57%
iter 1040: loss 5.5361, time 1020.84ms, mfu 93.29%
iter 1050: loss 5.5858, time 1019.63ms, mfu 93.94%
iter 1060: loss 5.5367, time 1019.57ms, mfu 94.53%
iter 1070: loss 5.4640, time 1020.50ms, mfu 95.05%
iter 1080: loss 5.4434, time 1020.36ms, mfu 95.52%
iter 1090: loss 5.4519, time 1020.48ms, mfu 95.94%
iter 1100: loss 5.4595, time 1022.38ms, mfu 96.30%
iter 1110: loss 5.4924, time 1021.42ms, mfu 96.63%
iter 1120: loss 5.4459, time 1022.36ms, mfu 96.93%
iter 1130: loss 5.5294, time 1019.53ms, mfu 97.22%
iter 1140: loss 5.4156, time 1020.39ms, mfu 97.47%
iter 1150: loss 5.3796, time 1017.71ms, mfu 97.72%
iter 1160: loss 5.3581, time 1018.74ms, mfu 97.94%
iter 1170: loss 5.4204, time 1023.54ms, mfu 98.09%
iter 1180: loss 5.3571, time 1021.64ms, mfu 98.24%
iter 1190: loss 5.3139, time 1022.38ms, mfu 98.37%
iter 1200: loss 5.3321, time 1021.49ms, mfu 98.50%
iter 1210: loss 5.3908, time 1019.07ms, mfu 98.64%
iter 1220: loss 5.3873, time 1022.22ms, mfu 98.73%
iter 1230: loss 5.3543, time 1021.37ms, mfu 98.82%
iter 1240: loss 5.2957, time 1022.43ms, mfu 98.89%
iter 1250: loss 5.2837, time 1018.03ms, mfu 99.00%
iter 1260: loss 5.3075, time 1022.20ms, mfu 99.06%
iter 1270: loss 5.3127, time 1020.25ms, mfu 99.13%
iter 1280: loss 5.3079, time 1019.67ms, mfu 99.20%
iter 1290: loss 5.3276, time 1020.73ms, mfu 99.25%
iter 1300: loss 5.2910, time 1022.34ms, mfu 99.28%
iter 1310: loss 5.2956, time 1020.50ms, mfu 99.32%
iter 1320: loss 5.2503, time 1024.72ms, mfu 99.32%
iter 1330: loss 5.2970, time 1020.77ms, mfu 99.36%
iter 1340: loss 5.2818, time 1025.17ms, mfu 99.35%
iter 1350: loss 5.1995, time 1021.15ms, mfu 99.38%
