step 0: train loss 10.9894, val loss 10.9903
iter 1010: loss 4.5425, time 1080.89ms, mfu 113.58%
iter 1020: loss 4.5019, time 1080.66ms, mfu 114.68%
iter 1030: loss 4.3897, time 1081.58ms, mfu 115.67%
iter 1040: loss 4.4284, time 1078.74ms, mfu 116.58%
iter 1050: loss 4.4138, time 1080.69ms, mfu 117.39%
iter 1060: loss 4.3698, time 1081.44ms, mfu 118.10%
iter 1070: loss 4.3707, time 1080.16ms, mfu 118.76%
iter 1080: loss 4.3830, time 1079.74ms, mfu 119.35%
iter 1090: loss 4.4017, time 1081.83ms, mfu 119.86%
iter 1100: loss 4.3239, time 1082.32ms, mfu 120.32%
iter 1110: loss 4.3405, time 1083.19ms, mfu 120.72%
iter 1120: loss 4.3439, time 1082.06ms, mfu 121.09%
iter 1130: loss 4.3048, time 1081.80ms, mfu 121.43%
iter 1140: loss 4.2823, time 1079.38ms, mfu 121.76%
iter 1150: loss 4.3154, time 1079.83ms, mfu 122.06%
iter 1160: loss 4.3560, time 1082.49ms, mfu 122.29%
iter 1170: loss 4.2054, time 1080.94ms, mfu 122.52%
iter 1180: loss 4.2533, time 1083.69ms, mfu 122.69%
iter 1190: loss 4.2657, time 1079.97ms, mfu 122.89%
iter 1200: loss 4.2276, time 1078.25ms, mfu 123.09%
iter 1210: loss 4.2221, time 1083.73ms, mfu 123.21%
iter 1220: loss 4.1977, time 1081.15ms, mfu 123.34%
iter 1230: loss 4.2495, time 1082.56ms, mfu 123.45%
iter 1240: loss 4.1463, time 1084.75ms, mfu 123.52%
iter 1250: loss 4.1770, time 1083.51ms, mfu 123.59%
iter 1260: loss 4.1948, time 1081.64ms, mfu 123.68%
iter 1270: loss 4.1778, time 1081.12ms, mfu 123.77%
iter 1280: loss 4.2145, time 1080.06ms, mfu 123.86%
iter 1290: loss 4.2018, time 1082.43ms, mfu 123.92%
iter 1300: loss 4.1511, time 1079.19ms, mfu 124.00%
iter 1310: loss 4.1159, time 1081.57ms, mfu 124.05%
iter 1320: loss 4.2349, time 1076.22ms, mfu 124.16%
iter 1330: loss 4.1729, time 1081.06ms, mfu 124.20%
iter 1340: loss 4.0947, time 1077.74ms, mfu 124.27%
iter 1350: loss 4.1220, time 1079.78ms, mfu 124.32%
iter 1360: loss 4.0488, time 1083.12ms, mfu 124.32%
iter 1370: loss 4.1363, time 1080.52ms, mfu 124.35%
iter 1380: loss 4.0684, time 1082.36ms, mfu 124.36%
iter 1390: loss 4.1124, time 1081.88ms, mfu 124.37%
iter 1400: loss 4.1003, time 1076.97ms, mfu 124.43%
iter 1410: loss 4.0979, time 1081.75ms, mfu 124.44%
iter 1420: loss 4.1199, time 1082.41ms, mfu 124.44%
iter 1430: loss 4.0378, time 1080.83ms, mfu 124.45%
iter 1440: loss 4.1719, time 1080.24ms, mfu 124.47%
iter 1450: loss 4.0957, time 1083.68ms, mfu 124.45%
