step 0: train loss 10.8545, val loss 10.8549
iter 1010: loss 5.4735, time 1309.24ms, mfu 84.50%
iter 1020: loss 5.4252, time 1310.35ms, mfu 85.30%
iter 1030: loss 5.3825, time 1310.64ms, mfu 86.01%
iter 1040: loss 5.4205, time 1307.33ms, mfu 86.68%
iter 1050: loss 5.5104, time 1311.65ms, mfu 87.25%
iter 1060: loss 5.4018, time 1307.58ms, mfu 87.79%
iter 1070: loss 5.3367, time 1308.71ms, mfu 88.27%
iter 1080: loss 5.4052, time 1308.42ms, mfu 88.70%
iter 1090: loss 5.3318, time 1315.97ms, mfu 89.04%
iter 1100: loss 5.3346, time 1311.47ms, mfu 89.37%
iter 1110: loss 5.3594, time 1312.68ms, mfu 89.67%
iter 1120: loss 5.3121, time 1302.15ms, mfu 90.00%
iter 1130: loss 5.3812, time 1306.63ms, mfu 90.28%
iter 1140: loss 5.3165, time 1313.15ms, mfu 90.48%
iter 1150: loss 5.2673, time 1307.49ms, mfu 90.69%
iter 1160: loss 5.3057, time 1304.64ms, mfu 90.91%
iter 1170: loss 5.3925, time 1308.51ms, mfu 91.08%
iter 1180: loss 5.3250, time 1312.34ms, mfu 91.20%
iter 1190: loss 5.3027, time 1309.64ms, mfu 91.34%
iter 1200: loss 5.3128, time 1308.22ms, mfu 91.46%
iter 1210: loss 5.3246, time 1303.01ms, mfu 91.62%
iter 1220: loss 5.2750, time 1307.27ms, mfu 91.72%
iter 1230: loss 5.2267, time 1305.53ms, mfu 91.83%
iter 1240: loss 5.2671, time 1305.98ms, mfu 91.93%
iter 1250: loss 5.2123, time 1310.32ms, mfu 91.98%
iter 1260: loss 5.2117, time 1314.44ms, mfu 92.00%
iter 1270: loss 5.2311, time 1314.46ms, mfu 92.02%
iter 1280: loss 5.1045, time 1312.02ms, mfu 92.05%
iter 1290: loss 5.2792, time 1304.78ms, mfu 92.13%
iter 1300: loss 5.2286, time 1312.93ms, mfu 92.15%
iter 1310: loss 5.2050, time 1312.62ms, mfu 92.16%
